,Order_ID,Gender_Category,Product_Line,Product_Name,Size,Units_Sold,MRP,Revenue,Order_Date,Sales_Channel,Region,Profit,%_pricepaid,Discount%,Cost_Price,Profit/Loss_%
988,2009,Women,Lifestyle,Dunk Low,8,2,6481.4,10888.751999999999,26-07-2024,Retail,bengaluru,522.93,0.84,16.000000000000004,10365.821999999998,5.044751877853971
10,2010,Kids,Lifestyle,Waffle One,10,1,7949.83,4809.64715,16-01-2025,Online,Pune,1965.56,0.605,39.5,2844.08715,69.11039979910602
11,2011,Women,Training,Flex Trainer,10,1,9586.08,5320.274399999999,31-12-2024,Retail,Hyd,1667.08,0.5549999999999999,44.50000000000001,3653.1943999999994,45.63348722969685
401,2012,Kids,Running,Pegasus Turbo,9,2,9220.15,12355.000999999998,02-04-2025,Retail,Pune,2688.05,0.6699999999999999,33.00000000000001,9666.950999999997,27.806595895644868
294,2012,Women,Soccer,Phantom GT,9,2,6356.455,7564.181449999999,09-01-2024,Retail,Hyderabad,-914.59,0.595,40.5,8478.771449999998,-10.786822187546996
1884,2012,Men,Basketball,Air Jordan,12,2,5974.92,5915.1708,30-03-2025,Retail,Bangalore,-685.96,0.495,50.5,6601.1308,-10.39155291393408
725,2012,Men,Lifestyle,Dunk Low,12,3,2174.89,4763.0091,31-12-2024,Retail,Kolkata,-406.38,0.73,27.0,5169.3891,-7.861277070437588
13,2013,Kids,Training,SuperRep Go,9,3,9671.05,16827.626999999997,19-09-2024,Online,hyderbad,299.34,0.58,42.00000000000001,16528.286999999997,1.8110769736754937
2253,2013,Kids,Lifestyle,Blazer Mid,9,3,6569.37,4729.9464,07-08-2024,Online,Hyd,2827.54,0.24,76.0,1902.4063999999998,148.62965137207277
14,2014,Women,Running,React Infinity,11,2,7006.295,8617.74285,12-04-2025,Online,Bangalore,-1044.4,0.615,38.5,9662.14285,-10.809196429961704
15,2015,Kids,Basketball,Air Jordan,9,1,3285.52,2168.4432,31-05-2025,Retail,Kolkata,1193.21,0.66,34.0,975.2332000000001,122.35124891154237
16,2016,Women,Basketball,Air Jordan,8,1,9871.75,2961.525,31-12-2024,Retail,hyderbad,2452.69,0.3,70.0,508.83500000000004,482.0206943311683
1732,2016,Women,Training,Metcon 7,9,2,5462.8,6063.708,15-03-2024,Retail,Delhi,-263.86,0.5549999999999999,44.50000000000001,6327.567999999999,-4.1700065491196625
17,2017,Women,Basketball,Air Jordan,9,4,6144.015,17203.242,17-03-2025,Retail,Delhi,1946.24,0.7,30.000000000000004,15257.001999999999,12.756372451153904
1492,2018,Women,Soccer,Phantom GT,6,2,6356.455,7564.181449999999,13-11-2024,Online,bengaluru,-777.58,0.595,40.5,8341.76145,-9.321532444445532
18,2018,Men,Training,Metcon 7,12,2,6284.84,14706.525599999999,31-12-2024,Online,bengaluru,-966.89,1.17,-16.999999999999993,15673.415599999998,-6.168980805945068
12,2018,Kids,Lifestyle,Blazer Mid,9,1,6569.37,5649.6582,13-11-2024,Online,Delhi,2109.48,0.86,14.000000000000002,3540.1782,59.58683096800043
728,2018,Kids,Soccer,Tiempo Legend,10,2,5186.225,7105.128250000001,15-02-2025,Retail,bengaluru,-701.28,0.685,31.499999999999993,7806.40825,-8.98338874347239
2457,2019,Men,Lifestyle,Air Force 1,10,1,2452.52,294.3024,26-07-2024,Retail,Hyd,-1199.45,0.12,88.0,1493.7524,-80.29777893578614
2465,2019,Men,Basketball,LeBron 20,10,3,6730.48,17162.724,13-08-2024,Online,Delhi,347.96,0.85,15.000000000000002,16814.764,2.0693718924630757
19,2019,Kids,Running,Air Zoom,6,2,3424.06,2191.3984,17-01-2025,Online,Hyderabad,1915.24,0.32,68.0,276.15840000000003,693.5295105997137
1603,2019,Men,Running,Air Zoom,8,2,4854.18,5388.1398,31-12-2024,Retail,Bangalore,-229.65,0.5549999999999999,44.50000000000001,5617.7898,-4.087906599851778
2254,2019,Men,Running,Free RN,12,2,8072.86,8960.8746,31-12-2024,Online,Kolkata,1387.97,0.5549999999999999,44.50000000000001,7572.904599999999,18.328106232844927
1505,2020,Kids,Lifestyle,Blazer Mid,12,3,7126.64,19028.128800000002,10-05-2025,Retail,Delhi,535.13,0.89,10.999999999999998,18492.9988,2.893689691906539
2034,2020,Men,Running,Air Zoom,12,2,5614.96,6232.605599999999,05-03-2025,Online,Kolkata,671.98,0.5549999999999999,44.50000000000001,5560.625599999999,12.084611486880183
20,2020,Kids,Soccer,Tiempo Legend,10,1,5186.225,3474.7707500000006,28-03-2025,Retail,Mumbai,439.96,0.67,32.99999999999999,3034.8107500000006,14.497114853043138
2016,2021,Kids,Lifestyle,Waffle One,12,2,4561.67,5519.6206999999995,13-02-2024,Online,Pune,1720.61,0.605,39.5,3799.0107,45.29100168104291
1101,2021,Men,Lifestyle,Blazer Mid,8,3,3723.21,8153.829900000001,22-06-2025,Online,bengaluru,-1133.4,0.73,27.0,9287.2299,-12.203854240756979
1296,2021,Kids,Running,React Infinity,12,4,6070.1900000000005,16268.109199999999,31-12-2024,Online,Hyderabad,2465.98,0.6699999999999999,33.00000000000001,13802.1292,17.86666364491067
21,2021,Men,Running,Free RN,10,1,7086.7,4677.222,19-11-2024,Retail,Hyd,-1120.49,0.66,34.0,5797.7119999999995,-19.326417041757164
227,2021,Men,Running,React Infinity,12,3,2180.71,5364.5466,31-12-2024,Retail,Hyd,2277.63,0.82,18.000000000000004,3086.9165999999996,73.78333447686927
22,2022,Women,Soccer,Premier III,8,1,5255.98,3127.3080999999997,24-09-2024,Online,Pune,3427.16,0.595,40.5,-299.8519000000001,-1142.9509034293258
171,2022,Women,Lifestyle,Air Force 1,10,2,9378.52,19882.4624,29-10-2023,Retail,Mumbai,128.92,1.06,-6.000000000000005,19753.542400000002,0.6526424344020441
645,2022,Kids,Training,ZoomX Invincible,10,3,6584.055,11456.2557,27-11-2024,Retail,Mumbai,689.62,0.58,42.00000000000001,10766.635699999999,6.405157741150284
2222,2023,Men,Basketball,Air Jordan,12,2,5974.92,5915.1708,31-12-2024,Online,Mumbai,2913.04,0.495,50.5,3002.1308,97.03241444376775
23,2023,Men,Lifestyle,Waffle One,8,2,5003.95,7305.767,01-10-2025,Online,Mumbai,1498.37,0.73,27.0,5807.397,25.80106026848173
24,2024,Kids,Training,SuperRep Go,12,3,4912.45,7368.674999999999,28-12-2024,Retail,Bangalore,1842.35,0.5,50.0,5526.324999999999,33.33770634191801
25,2025,Women,Basketball,Kyrie Flytrap,8,3,9820.5,20623.05,31-12-2024,Retail,Mumbai,1900.15,0.7,30.000000000000004,18722.899999999998,10.148801734773995
411,2025,Men,Lifestyle,Blazer Mid,10,1,8903.17,6499.3141,31-12-2024,Retail,Kolkata,3808.81,0.73,27.0,2690.5040999999997,141.56492086371472
1590,2025,Men,Lifestyle,Waffle One,9,2,5245.87,7658.9702,01-08-2024,Retail,hyderbad,-1193.87,0.73,27.0,8852.840199999999,-13.485728568781802
423,2025,Kids,Training,Flex Trainer,11,1,4554.97,2641.8826,05-03-2025,Retail,hyderbad,2802.1,0.58,42.00000000000001,-160.2174,-1748.9361330292463
400,2025,Kids,Training,ZoomX Invincible,12,4,6743.07,15643.922399999998,09-10-2024,Online,Pune,-277.41,0.58,42.00000000000001,15921.332399999998,-1.7423792998631198
2301,2026,Kids,Training,ZoomX Invincible,9,2,6584.055,7637.5037999999995,05-01-2024,Online,Kolkata,-264.65,0.58,42.00000000000001,7902.153799999999,-3.3490869286801277
926,2026,Women,Soccer,Premier III,9,1,5255.98,3127.3080999999997,01-10-2024,Retail,Mumbai,111.21,0.595,40.5,3016.0980999999997,3.687214285238269
26,2026,Kids,Lifestyle,Blazer Mid,12,1,6569.37,1051.0992,10-08-2024,Retail,Kolkata,2301.64,0.16,84.0,-1250.5407999999998,-184.05157192792112
311,2026,Women,Training,Flex Trainer,8,4,6496.58,6756.4432,25-09-2024,Online,Delhi,495.62,0.26,74.0,6260.8232,7.916211401721103
714,2026,Women,Running,Air Zoom,9,1,2491.06,1532.0019,09-04-2024,Retail,Bangalore,1660.44,0.615,38.5,-128.43810000000008,-1292.793960670548
2319,2027,Men,Training,SuperRep Go,10,3,5157.745,1237.8588,14-11-2024,Retail,Kolkata,126.1,0.08,92.0,1111.7588,11.342388295015068
670,2027,Men,Soccer,Premier III,12,4,7204.01,20891.629,15-06-2025,Retail,Delhi,3951.42,0.725,27.500000000000004,16940.209000000003,23.32568624153338
27,2027,Men,Basketball,Zoom Freak,12,3,6172.36,4073.7575999999995,31-12-2024,Online,Pune,-138.74,0.22,78.0,4212.4976,-3.2935330337042807
1690,2028,Kids,Soccer,Phantom GT,8,2,6466.57,12545.145799999998,15-05-2025,Retail,Pune,2305.1,0.97,3.0000000000000027,10240.045799999998,22.510641505138583
1836,2028,Women,Running,Pegasus Turbo,8,2,6047.945,12337.8078,20-02-2025,Online,Delhi,-417.11,1.02,-2.0000000000000018,12754.917800000001,-3.2701896361887957
1433,2028,Kids,Lifestyle,Waffle One,12,2,5254.485000000001,9983.5215,01-02-2025,Online,Delhi,2511.65,0.95,5.000000000000004,7471.871500000001,33.614737619617785
82,2028,Men,Running,Free RN,9,1,7450.8,1564.668,14-02-2024,Online,Hyderabad,3303.01,0.21,79.0,-1738.3420000000003,-190.00921567792756
1353,2028,Men,Basketball,Kyrie Flytrap,7,4,2824.55,5592.609,31-12-2024,Online,Delhi,1123.78,0.495,50.5,4468.829000000001,25.147079917356425
749,2028,Kids,Training,ZoomX Invincible,9,2,5474.79,6350.756399999999,01-03-2025,Online,Pune,-682.62,0.58,42.00000000000001,7033.376399999999,-9.705438201771772
28,2028,Men,Training,Flex Trainer,12,3,3270.23,5150.61225,31-12-2024,Retail,Delhi,-946.86,0.525,47.5,6097.47225,-15.528729958549627
29,2029,Men,Training,ZoomX Invincible,12,2,7050.14,7402.647000000001,28-10-2023,Online,Bangalore,-185.67,0.525,47.5,7588.317000000001,-2.446787607845059
2372,2029,Kids,Running,Free RN,8,2,5691.68,7626.851199999999,31-12-2024,Retail,Mumbai,2598.77,0.6699999999999999,33.00000000000001,5028.081199999999,51.68512393952589
2196,2029,Kids,Lifestyle,Dunk Low,10,2,8165.07,9879.734699999999,31-12-2024,Online,Pune,3469.45,0.605,39.5,6410.284699999999,54.12318114357698
1367,2029,Kids,Training,Metcon 7,10,2,6548.87,2619.5480000000002,20-11-2024,Online,Kolkata,3640.6,0.2,80.0,-1021.0519999999997,-356.55382879618287
566,2029,Women,Running,React Infinity,9,2,7518.66,9247.951799999999,16-12-2024,Retail,Kolkata,2543.37,0.615,38.5,6704.581799999999,37.93480452427324
1526,2030,Men,Basketball,Air Jordan,10,2,5974.92,5915.1708,18-12-2024,Online,hyderbad,2272.16,0.495,50.5,3643.0108,62.37038880038456
2106,2030,Men,Soccer,Phantom GT,9,2,3998.0,5797.099999999999,31-12-2024,Online,Bangalore,2911.5,0.725,27.500000000000004,2885.5999999999995,100.8975602994178
2069,2030,Women,Soccer,Premier III,10,1,9804.64,6961.294399999999,08-02-2025,Online,Bangalore,635.57,0.71,29.000000000000004,6325.724399999999,10.04738682576813
596,2030,Men,Soccer,Mercurial Superfly,8,1,7150.045,5005.0315,15-03-2025,Online,Pune,-1193.55,0.7,30.000000000000004,6198.5815,-19.255211857745195
2448,2030,Women,Basketball,Air Jordan,11,2,6144.015,8601.621,06-10-2025,Retail,Mumbai,2717.93,0.7,30.000000000000004,5883.690999999999,46.194302182082644
30,2030,Men,Soccer,Phantom GT,12,2,6319.755,13271.4855,14-07-2025,Retail,Hyd,-122.93,1.05,-5.000000000000004,13394.415500000001,-0.9177705440002216
568,2030,Women,Soccer,Mercurial Superfly,9,2,2298.45,2735.1555,09-12-2024,Retail,Kolkata,-240.32,0.595,40.5,2975.4755,-8.076692279939794
688,2031,Women,Soccer,Phantom GT,10,2,6356.455,7564.181449999999,12-07-2024,Online,Mumbai,3119.37,0.595,40.5,4444.811449999999,70.18002979631454
1733,2031,Kids,Running,Pegasus Turbo,10,2,3360.35,1008.1049999999999,31-12-2024,Retail,Delhi,1282.69,0.15,85.0,-274.58500000000015,-467.1376804996629
31,2031,Men,Soccer,Premier III,9,4,3493.04,11457.171199999999,09-05-2024,Online,Delhi,350.7,0.82,18.000000000000004,11106.471199999998,3.1576185962648515
1919,2032,Kids,Lifestyle,Waffle One,6,1,5254.485000000001,3178.9634250000004,08-03-2025,Retail,Bangalore,2281.5,0.605,39.5,897.4634250000004,254.216487986683
817,2032,Women,Soccer,Mercurial Superfly,10,2,4262.63,8184.2496,16-10-2024,Online,Kolkata,-596.41,0.96,4.0000000000000036,8780.6596,-6.792314326818909
32,2032,Women,Lifestyle,Blazer Mid,12,1,7671.0650000000005,8208.039550000001,04-11-2025,Retail,Mumbai,-555.16,1.07,-7.000000000000006,8763.199550000001,-6.335129045418118
1037,2033,Kids,Lifestyle,Waffle One,8,2,5254.485000000001,6357.926850000001,22-01-2025,Online,Kolkata,-679.74,0.605,39.5,7037.6668500000005,-9.658598715851404
999,2033,Women,Soccer,Premier III,9,1,5255.98,2049.8322,31-12-2024,Online,Kolkata,400.37,0.39,61.0,1649.4622,24.27275993351045
611,2033,Kids,Soccer,Mercurial Superfly,8,4,6892.094999999999,18884.3403,31-12-2024,Retail,Pune,2310.9,0.685,31.499999999999993,16573.4403,13.943393514984335
33,2033,Men,Soccer,Mercurial Superfly,12,1,7150.045,5183.782625,31-12-2024,Retail,Kolkata,-1005.71,0.725,27.500000000000004,6189.492625,-16.248666262850584
1660,2033,Women,Running,React Infinity,8,2,7006.295,11210.072,23-07-2024,Retail,Delhi,437.17,0.8,19.999999999999996,10772.902,4.058052324248378
34,2034,Men,Basketball,Air Jordan,6,2,6235.71,6173.3529,30-04-2025,Retail,Delhi,-267.37,0.495,50.5,6440.7229,-4.1512420911634
35,2035,Kids,Basketball,Zoom Freak,9,4,6021.235000000001,9152.2772,17-11-2024,Online,Bangalore,2914.83,0.38,62.0,6237.4472000000005,46.731137058763395
967,2035,Men,Lifestyle,Dunk Low,10,3,3598.07,11873.631000000001,31-12-2024,Retail,Kolkata,3466.33,1.1,-10.000000000000009,8407.301000000001,41.229997593758085
951,2036,Women,Soccer,Premier III,12,2,5255.98,7989.089599999999,31-12-2024,Online,Mumbai,2469.75,0.76,24.0,5519.339599999999,44.74720127748618
36,2036,Men,Training,Metcon 7,9,3,6284.84,9898.623000000001,15-02-2025,Retail,Bangalore,-143.8,0.525,47.5,10042.423,-1.4319253431168952
37,2037,Kids,Running,Pegasus Turbo,7,3,5653.14,17129.0142,31-12-2024,Retail,Pune,2776.96,1.01,-1.0000000000000009,14352.054200000002,19.348867843601088
1342,2037,Women,Lifestyle,Dunk Low,12,4,4722.755,23235.9546,11-04-2025,Online,Delhi,3651.05,1.23,-23.0,19584.9046,18.642163822437
463,2037,Women,Running,React Infinity,12,2,7006.295,8617.74285,04-10-2024,Online,Delhi,438.39,0.615,38.5,8179.35285,5.359714980385031
272,2038,Women,Training,ZoomX Invincible,12,1,7338.57,4072.9063499999993,21-10-2024,Retail,Delhi,3680.24,0.5549999999999999,44.50000000000001,392.6663499999995,937.2435402218715
1448,2038,Kids,Lifestyle,Air Force 1,9,2,7609.9,760.99,31-12-2024,Online,Delhi,788.86,0.05,95.0,-27.870000000000005,-2830.4987441693575
38,2038,Kids,Running,Free RN,9,2,5691.68,9448.1888,31-12-2024,Online,Delhi,1163.21,0.83,17.000000000000004,8284.9788,14.03998764607581
39,2039,Women,Training,Flex Trainer,8,2,2767.7,3487.3019999999997,22-04-2025,Retail,hyderbad,-336.3,0.63,37.0,3823.602,-8.795371484793659
41,2041,Kids,Soccer,Tiempo Legend,12,2,5553.88,7608.815600000001,05-03-2025,Online,Hyd,2371.66,0.685,31.499999999999993,5237.155600000001,45.2852689731044
1962,2041,Kids,Soccer,Tiempo Legend,8,1,4414.63,3024.0215500000004,27-02-2025,Online,Bangalore,1709.18,0.685,31.499999999999993,1314.8415500000003,129.99132861294197
2040,2041,Men,Training,Metcon 7,12,2,6284.84,4399.388,05-07-2025,Online,Hyderabad,1727.5,0.35,65.0,2671.888,64.65465618319331
235,2042,Men,Basketball,Kyrie Flytrap,10,1,5254.47,2600.96265,26-02-2025,Retail,bengaluru,2459.63,0.495,50.5,141.33264999999983,1740.3126595305494
42,2042,Women,Basketball,Kyrie Flytrap,10,3,5912.915,12417.1215,19-04-2025,Online,hyderbad,-862.16,0.7,30.000000000000004,13279.2815,-6.492519945450362
1954,2042,Kids,Soccer,Tiempo Legend,10,4,8290.97,22717.2578,30-12-2024,Online,Delhi,-84.8,0.685,31.499999999999993,22802.0578,-0.3718962592928784
691,2042,Men,Running,Air Zoom,9,2,4854.18,7766.688000000001,31-12-2024,Online,Delhi,-151.26,0.8,19.999999999999996,7917.948000000001,-1.9103434374663733
1439,2043,Kids,Running,React Infinity,6,2,5395.6,647.472,07-03-2025,Online,Delhi,2992.96,0.06,94.0,-2345.4880000000003,-127.60500160307791
2190,2043,Men,Training,Flex Trainer,12,4,6252.925,3001.404,31-12-2024,Online,Pune,-809.91,0.12,88.0,3811.314,-21.250151522545767
43,2043,Men,Soccer,Premier III,12,2,3492.89,5379.0506,02-05-2024,Retail,Delhi,3770.75,0.77,23.0,1608.3005999999996,234.4555489191511
997,2043,Women,Lifestyle,Waffle One,10,1,4934.05,3700.5375000000004,13-10-2024,Retail,Mumbai,497.69,0.75,25.0,3202.8475000000003,15.538985231110752
44,2044,Kids,Training,SuperRep Go,9,3,4912.45,8547.662999999999,06-09-2023,Online,Delhi,2174.71,0.58,42.00000000000001,6372.952999999999,34.124055206432566
2261,2044,Men,Training,Flex Trainer,12,3,6252.925,9848.356875000001,13-08-2023,Online,Bangalore,1192.96,0.525,47.5,8655.396875000002,13.782845746169203
1390,2044,Kids,Soccer,Premier III,12,3,2068.95,5027.5485,31-12-2024,Retail,Delhi,-182.98,0.81,18.999999999999993,5210.528499999999,-3.5117359016460616
1076,2044,Kids,Lifestyle,Blazer Mid,9,3,4032.43,7318.860449999999,31-12-2024,Online,Hyd,2059.4,0.605,39.5,5259.460449999999,39.15610773344632
45,2045,Kids,Lifestyle,Dunk Low,12,4,6122.674999999999,14816.873499999998,06-04-2025,Retail,Delhi,1833.94,0.605,39.5,12982.933499999997,14.125775195567321
1851,2045,Kids,Running,Pegasus Turbo,10,1,4891.02,3276.9834,31-12-2024,Online,Kolkata,-473.08,0.6699999999999999,33.00000000000001,3750.0634,-12.615253384782774
46,2046,Kids,Running,Air Zoom,12,2,5837.53,12142.0624,31-12-2024,Online,Kolkata,1284.33,1.04,-4.0000000000000036,10857.7324,11.828712964043946
251,2046,Men,Basketball,Air Jordan,10,2,9593.65,9497.7135,01-11-2025,Online,hyderbad,1592.5,0.495,50.5,7905.2135,20.14493346700883
242,2046,Kids,Basketball,LeBron 20,9,1,4934.46,4243.6356,31-12-2024,Retail,Kolkata,2237.95,0.86,14.000000000000002,2005.6855999999998,111.58029952451172
2010,2046,Men,Training,ZoomX Invincible,8,1,5091.2,2672.88,07-10-2025,Retail,Pune,1544.79,0.525,47.5,1128.0900000000001,136.93854213759536
2049,2046,Kids,Running,React Infinity,9,2,6070.1900000000005,8619.6698,31-12-2024,Online,Delhi,63.74,0.71,29.000000000000004,8555.9298,0.7449803994418001
1276,2046,Men,Soccer,Tiempo Legend,9,1,6041.3,4379.9425,17-09-2024,Online,Bangalore,1314.84,0.725,27.500000000000004,3065.1025,42.89709724226188
604,2047,Men,Soccer,Phantom GT,9,4,6136.45,17795.704999999998,17-12-2024,Online,Kolkata,2790.51,0.725,27.500000000000004,15005.194999999998,18.59695925311201
47,2047,Women,Training,SuperRep Go,10,1,8577.75,4760.65125,13-06-2024,Retail,Bangalore,2888.68,0.5549999999999999,44.50000000000001,1871.97125,154.31219897207288
48,2048,Women,Basketball,Air Jordan,12,2,6144.015,8601.621,27-10-2024,Online,Bangalore,2875.86,0.7,30.000000000000004,5725.760999999999,50.22668602479218
1985,2048,Kids,Basketball,Air Jordan,12,2,8918.66,21226.410799999998,14-02-2024,Retail,Delhi,1889.03,1.19,-18.999999999999993,19337.3808,9.768799712523633
57,2048,Men,Lifestyle,Waffle One,8,3,6216.29,17529.9378,14-09-2024,Online,Mumbai,-642.02,0.94,6.000000000000005,18171.9578,-3.5330260342118995
1055,2048,Kids,Basketball,LeBron 20,12,2,5357.49,7071.8868,31-12-2024,Online,Pune,-548.0,0.66,34.0,7619.8868,-7.1917078873140206
1345,2048,Men,Lifestyle,Blazer Mid,12,2,4936.545,7207.3557,31-12-2024,Online,Bangalore,1635.47,0.73,27.0,5571.8857,29.352181434734025
953,2049,Men,Training,Metcon 7,8,2,6284.84,13575.254400000002,12-04-2024,Online,Bangalore,-400.59,1.08,-8.000000000000007,13975.844400000002,-2.8663026614692413
49,2049,Kids,Soccer,Tiempo Legend,10,1,7767.2,5320.532,31-12-2024,Retail,Pune,311.48,0.685,31.499999999999993,5009.052,6.218342313076407
840,2050,Women,Lifestyle,Blazer Mid,10,1,7671.0650000000005,5753.29875,28-11-2024,Online,Kolkata,3407.87,0.75,25.0,2345.42875,145.2983809463408
881,2050,Kids,Basketball,Zoom Freak,6,3,6021.235000000001,11922.045300000002,30-06-2025,Retail,Kolkata,-1000.03,0.66,34.0,12922.075300000002,-7.738927198481808
2188,2050,Kids,Soccer,Tiempo Legend,9,2,5186.225,7105.128250000001,30-09-2023,Online,Pune,1182.9,0.685,31.499999999999993,5922.22825,19.973900870841984
769,2050,Men,Basketball,LeBron 20,10,3,8335.48,14253.670799999998,30-06-2025,Retail,Mumbai,832.37,0.57,43.00000000000001,13421.300799999997,6.20185787058733
393,2050,Kids,Training,ZoomX Invincible,10,2,6584.055,15670.0509,31-12-2024,Retail,Hyderabad,4.76,1.19,-18.999999999999993,15665.2909,0.030385647035766187
